,PROCUREMENT,,,,,,,,,,,,,,
Sl No.,IOM Version,Project,Package,Scope of work,Awarded Vendor name,Budget incl Escalation,Total Finalized Proposed Award Value (Excl Tax),Expected (-) Savings / (+) Escalations w.r.t Budget incl. escalation,Basis of award,TES/ Non-TES,Requisition Date,Finalization Date,TAT,Time Period,Delay
24,IOMP20260718123408,Godrej Joka,Miscellaneous / other works,Supply of Ready Mix plaster (On Debit-able Basis from M/s Kuber Dutta Construction Pvt Ltd),ULTRATECH CEMENT LIMITED,0.0253,0.0253,0.00000 %,L1,,,,,,
25,IOMP20260718125148,Godrej Joka,Miscellaneous / other works,Supply of Sand and Stone Aggregate (On Debit-able Basis from M/s Kuber Dutta Construction Pvt Ltd),ZOYA ENGINEERING & CONSTRUCTION COMPANY,0.041,0.041,0.00000 %,L1,,,,,,
26,IOMP20260723193610,Godrej Joka,Finishing - Tiles,Supply of Ceramic Tiles (Location - Toilet Dado),GOKUL STONES& TILES (P) LTD,0.1062,0.1032,-2.82486 %,L1,,,,,,
27,IOMP20260729173346,Godrej Joka,MEP - Plumbing and Fire fighting equipments and fittings,"Supply of Fire Pumps for Godrej Orchard Ph 2A & 2B Projects, Joka, Kolkata.",FLUID ENERGY SYSTEM PRIVATE LIMITED,0.65,0.538,-17.23077 %,L1,,,,,,
28,IOMP20260730121059,Godrej Joka,Finishing - Tiles,Procurement of Ceramic Tiles of Size 300X600 MM (Toilet Dado area) for Aug'26,Prism Johnson LTD,0.1844,0.1727,-6.34490 %,L1,,,,,,
29,IOMP20260730205912,Godrej Joka,Miscellaneous / other works,Supply of Fairmate/Myk Arment make Curing Compound (On Debitable Basis from M/s Kuber Dutta Construction Pvt Ltd),PUGALIA ENTERPRISE,0.00183,0.00183,0.00000 %,L1,,,,,,
30,IOMP20260730211650,Godrej Joka,Civil - RMC,Supply of RMC (M40 & M55 Grade) for Aug'26 & Sep'26,Nirman Concrete Private Limited,0.861,1.583,-4.61092 %,L1,,,,,,
31,IOMP20260730211650,Godrej Joka,Civil - RMC,Supply of RMC (M40 & M55 Grade) for Aug'26 & Sep'26,Right Choice Concrete & Eng Private Limited,0.174,1.583,-7.35632 %,L2,,,,,,
32,IOMP20260730211650,Godrej Joka,Civil - RMC,Supply of RMC (M40 & M55 Grade) for Aug'26 & Sep'26,Prism Johnson LTD,0.612,1.583,-1.87908 %,L2,,,,,,
33,IOMP20260731201247,Godrej Joka,MEP - Electrical equipment and fitting,Procurement of Electrical cables for Orchard Ph 2A,KEI INDUSTRIES LIMITED,0.0394,0.03773,-4.23858 %,L1,,,,,,
34,IOMP20260816164958,Godrej Joka,Miscellaneous / other works,Supply of Plywood,Shree Basuki Plywood,0.0073,0.0073,0.00000 %,L1,,,,,,
35,IOMP20260816170023,Godrej Joka,Miscellaneous / other works,Supply of Silver Sand (Post descoping from M/s JRS Construction),ZOYA ENGINEERING & CONSTRUCTION COMPANY,0.1368,0.0895,-34.57602 %,L1,,,,,,
36,IOMP20260819195811,Godrej Joka,Civil - Steel Rebar,Supply of Reinforcement Steel (Aug'26),Shakambhari Ispat & Power Ltd,2.1594,1.8844,-12.73502 %,L1,,,,,,
37,IOMP20260826114532,Godrej Joka,Civil - RMC,"Supply of RMC (M35, M35 SCC & M20 garde) for Aug' 26 & Sep'26",Firstchoice Ready Mix,0.312,0.5499,-1.82692 %,L1,,,,,,
